,Entity,Year,Fossil fuels (% electricity),Renewables (% electricity),Per capita electricity (kWh),Fossil fuels (% equivalent primary energy),Renewables (% equivalent primary energy),Aviation and shipping (per capita),Land-use change and forestry (per capita),Manufacturing and construction (per capita),Fugitive emissions (per capita),Agriculture (per capita),Buildings (per capita),Electricity and heat (per capita),Industry (per capita),Transport (per capita)_x,Waste (per capita),Carbon intensity of electricity (gCO2/kWh),Transport (per capita)_y,Biofuels Consumption - TWh - Total (zero filled),Solar Consumption - TWh (zero filled),Wind Consumption - TWh (zero filled),Hydro Consumption - TWh (zero filled),Nuclear Consumption - TWh (zero filled),Gas Consumption - TWh (zero filled),Coal Consumption - TWh (zero filled),Oil Consumption - TWh (zero filled),Geo Biomass Other - TWh (zero filled)
1129,Pakistan,2009,60.02362060546875,29.092100143432617,563.0389404296875,88.18989562988281,10.885856628417969,0.0169206075370311,0.0402790196239948,0.2290833741426468,0.0697334110736846,0.8525820970535278,0.1424293518066406,0.2593923509120941,0.0794186070561409,0.1916529387235641,0.0444949306547641,346.56256103515625,0.1862406134605407,0.0,0.0148888891562819,0.0,80.27857971191406,6.817209243774414,347.0166931152344,57.29591751098633,246.171142578125,0.0
1130,Pakistan,2010,54.94808578491211,30.00804328918457,553.9078979492188,87.91139221191406,11.174628257751465,0.0159955732524395,0.0394037291407585,0.214853435754776,0.0677164494991302,0.8230753540992737,0.1436257511377334,0.2310162037611007,0.0791975930333137,0.1915010064840316,0.0443640276789665,318.2581787109375,0.1859276443719864,0.0,0.0372705571353435,0.0,82.73995208740234,6.770435333251953,353.48394775390625,53.848724365234375,243.8800811767578,0.0
1131,Pakistan,2011,56.300140380859375,30.432138442993164,548.8236083984375,87.17931365966797,11.41127872467041,0.013963115401566,0.0297261625528335,0.2083558589220047,0.066488429903984,0.8417685627937317,0.1496125906705856,0.219700887799263,0.0788697823882103,0.1964653879404068,0.044289257377386,325.2786560058594,0.190629243850708,0.0,0.0740147233009338,0.0,84.3994369506836,10.4332914352417,353.3964538574219,46.42777633666992,245.5317840576172,0.0
1132,Pakistan,2012,57.36907196044922,10.890180587768556,531.0828247070312,94.6435775756836,4.3177876472473145,0.013135403394699,0.0291541870683431,0.1911040991544723,0.0673322901129722,0.8275303840637207,0.1571442782878875,0.2220203578472137,0.0826035290956497,0.1966572701930999,0.0442118421196937,330.1788024902344,0.1908905208110809,0.0,0.1808855533599853,0.052096664905548,29.4663200378418,7.144079208374023,365.9723205566406,47.08847427368164,237.931884765625,0.0
1133,Pakistan,2013,61.068756103515625,31.477392196655277,527.9082641601562,86.99447631835938,11.522516250610352,0.0134894344955682,0.0284951236099004,0.1762514859437942,0.0719436481595039,0.8517689108848572,0.1493771821260452,0.2335031479597091,0.0877336040139198,0.1970084756612777,0.0440759435296058,351.3978881835937,0.1913094520568847,0.0,0.3948858380317688,0.4125511050224304,85.81218719482422,11.148404121398926,355.8572998046875,37.30523300170898,260.811767578125,0.0
1134,Pakistan,2014,58.95292663574219,30.979719161987305,544.2164306640625,86.93901062011719,11.496394157409668,0.0116228461265563,0.0279050711542367,0.1964107304811477,0.0689690485596656,0.8546119928359985,0.1506873816251754,0.2307672500610351,0.0901666581630706,0.2057806998491287,0.0439824871718883,335.59698486328125,0.1999948769807815,0.0,0.6450577974319458,0.8489441871643066,87.71057891845703,12.140254020690918,349.86688232421875,54.99724960327149,269.7263488769531,0.0
1135,Pakistan,2015,59.333473205566406,30.6163330078125,554.2271118164062,87.46182250976562,11.174578666687012,0.0119341937825083,0.0273283012211322,0.2099014073610305,0.0652369186282157,0.8558521866798401,0.1504310220479965,0.2269502580165863,0.0940695255994796,0.2274015545845031,0.0438757129013538,338.014404296875,0.2209831625223159,0.0,1.0282388925552368,1.61199688911438,88.27420806884766,11.125059127807615,365.341796875,54.26277542114258,293.96051025390625,0.0796760693192482
1136,Pakistan,2016,65.3953628540039,31.701122283935547,569.2166748046875,87.38558197021484,11.086973190307615,0.0125226294621825,0.0343758463859558,0.2307601273059845,0.0609434619545936,0.867597222328186,0.1535618156194687,0.2431354373693466,0.1071053072810173,0.2483409196138382,0.0437555387616157,371.8390197753906,0.2412693202495575,0.0,1.9190961122512815,2.457839250564575,92.5656509399414,13.589858055114746,386.5067138671875,62.12088394165039,328.8485717773437,0.5322557091712952
1137,Pakistan,2017,57.75140380859375,26.70656013488769,612.8155517578125,88.12422180175781,9.674949645996094,0.0126499347388744,0.0336690284311771,0.2557403147220611,0.054784320294857,0.886986494064331,0.1512220352888107,0.2697370052337646,0.1160619482398033,0.2665144205093384,0.0436254404485225,345.5822448730469,0.2589629292488098,0.0,2.6188480854034424,4.691593647003174,80.38179016113281,20.72882080078125,407.3958435058594,83.12104797363281,339.4932556152344,1.07531476020813
1138,Pakistan,2018,48.09527206420898,24.940433502197266,649.2489624023438,88.16681671142578,9.416380882263184,0.0115441726520657,0.0329833514988422,0.2548670470714569,0.0567313618957996,0.8903148770332336,0.1536081582307815,0.2203758955001831,0.1248655393719673,0.2394120097160339,0.0434909053146839,286.3799133300781,0.2324855029582977,0.0,2.70711612701416,7.4921441078186035,77.99551391601562,23.48021125793457,435.8760986328125,137.6463165283203,283.0539855957031,1.030378341674805
